rural_or_urban,state_name,district_name,block_tehsil_name,town_municipality_name,village_name,ward_name,serial_number,enumeration_date,water_body_present_sac_data,unique_id,water_body_name,basin_name,sub_basin_name,water_body_type,nature_of_storage,khasra_number,latitude,longitude,water_body_location,ownership,water_body_in_use,water_body_uses_1,water_body_uses_2,water_body_uses_3,cca_water_body,ipc_water_body,not_in_use_reason,water_body_nature,manmade_water_body_type,construction_year,construction_cost,renovation_year,renovation_cost,water_body_presently_under_repair_renovation_restoration,scheme_under_revival_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,targeted_potential_revival,irrigation_potential_revived,associated_with_central_scheme,central_scheme_name,water_throughout_year,number_months,water_spread_area_reference_year,water_spread_area_current_year,minimum_water_spread_area,maximum_water_spread_area,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage,presence_of_silt,filled_up_storage_space,no_of_town_cities_benefited,no_of_villages_benefited,no_people_benefited_by_water_body,wua_exists,extent_of_area_covered_by_wua,number_of_wua_formed,dip_sip_exists,water_body_encroached,encroachment_assessed,area_encroached_percentage,standalone_or_connected,number_of_connected_water_bodies,captured_in_previous_census,enumerator_name,image_path,created_on,remark
Rural,GOA,South Goa,Ponda,,Nirancal,,1,2026-02-06,No,1/30/552/005932/0626861/0001,Bibal tali,,,Ponds,,206/0,15.3330369,74.0894176,Others,State WRD/State Irrigation,Yes,Irrigation,Domestic/Drinking,,2.0,2.0,,Natural,,,,,,No,,,,,,,No,,Yes,,100.0,100.0,50.0,100.0,1.5,1.0,1.0,Full,No,Filled up every year,1.0,1.0,150.0,No,,,No,No,,,1-Standalone,,No,GAURESH P GAONKAR,MIC_2618861.jpeg,2026-04-16 15:06:09.951,All ok
Rural,GOA,South Goa,Ponda,,Nirancal,,2,2026-02-06,No,1/30/552/005932/0626861/0002,maine,,,Ponds,,0/0,15.347875,74.1034483,Others,Group of Individuals,Yes,Irrigation,,,4.0,4.0,,Natural,,,,,,No,,,,,,,No,,No,More than 9 months,50.0,50.0,40.0,280.0,3.0,100.0,80.0,Full,No,Filled up every year,1.0,1.0,1.0,No,,,Yes,No,,,1-Standalone,,Yes,GAURESH P GAONKAR,MIC_2666743.jpeg,2026-04-29 08:06:21.07,All ok
Rural,GOA,South Goa,Ponda,,Nirancal,,3,2026-02-06,No,1/30/552/005932/0626861/0003,,,,Ponds,,65,15.3607767,74.058615,Others,State WRD/State Irrigation,Yes,Irrigation,,,100.0,100.0,,Natural,,,,,,No,,,,,,,No,,Yes,,150.0,120.0,80.0,150.0,1.0,180.0,100.0,Nil/Negligible filled up,No,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,Yes,GAURESH P GAONKAR,MIC_2674187.jpeg,2026-05-01 11:17:24.321,All ok
Rural,GOA,South Goa,Ponda,,Nirancal,,4,2026-02-06,No,1/30/552/005932/0626861/0004,,,,Ponds,,0/064,15.3617305,74.0582309,Others,State WRD/State Irrigation,Yes,Domestic/Drinking,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,2.0,2.0,3.0,Full,No,Filled up every year,1.0,1.0,10.0,Not Known,,,No,No,,,1-Standalone,,Yes,GAURESH P GAONKAR,MIC_2674188.jpeg,2026-05-01 11:17:28.676,All ok
Rural,GOA,South Goa,Ponda,,Nirancal,,5,2026-02-20,No,1/30/552/005932/0626861/0005,conxem,,,Ponds,,236,15.346585,74.0709283,Others,State WRD/State Irrigation,Yes,Irrigation,,,300.0,300.0,,Natural,,,,,,No,,,,,,,No,,Yes,,300.0,300.0,200.0,250.0,2.0,15000.0,1000.0,Full,No,Filled up every year,1.0,1.0,10.0,Yes,1.0,5.0,No,No,,,1-Standalone,,Yes,GAURESH P GAONKAR,MIC_2674189.jpeg,2026-05-01 11:17:33.521,All ok
Rural,GOA,South Goa,Ponda,,Shiroda,,1,2026-02-14,No,1/30/552/005932/0626863/0001,shivnath Temple ,,,Tank,,992,15.3163583,74.0297641,Others,Individual,Yes,Religious,,,,,,Man-made,Masonary,1980.0,0.0,,,No,,,,,,,No,,Yes,,350.0,350.0,250.0,300.0,2.0,1068.0,180.0,Full,No,Filled up every year,8.0,5.0,50.0,,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677466.jpeg,2026-05-02 12:39:47.947,don
Rural,GOA,South Goa,Ponda,,Shiroda,,2,2026-05-02,No,1/30/552/005932/0626863/0002,partal,,,Ponds,,32/26,15.31817,74.0284683,Flood prone,State WRD/State Irrigation,No,,,,,,Siltation,Natural,,,,2010.0,10000.0,No,,,,,,,No,,Yes,,100.0,90.0,40.0,100.0,3.0,2.0,1.0,Upto 1/4,No,Usually filled up,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677483.jpeg,2026-05-02 12:45:19.82,done
Rural,GOA,South Goa,Ponda,,Shiroda,,3,2026-02-14,No,1/30/552/005932/0626863/0003,sath,,,Tank,,22,15.31785,74.0291509,DPAP,State WRD/State Irrigation,Yes,Irrigation,,,200.0,210.0,,Man-made,Masonary,1998.0,100000.0,2010.0,10000.0,No,,,,,,,No,,Yes,,200.0,110.0,100.0,200.0,2.0,553.0,150.0,Upto 1/2,No,Usually filled up,1.0,1.0,15.0,No,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677506.jpeg,2026-05-02 12:46:15.84,done 
Rural,GOA,South Goa,Ponda,,Shiroda,,4,2026-02-06,No,1/30/552/005932/0626863/0004,vazem,,,Ponds,,129,15.3361479,74.0156223,Flood prone,State WRD/State Irrigation,Yes,Irrigation,,,200.0,200.0,,Natural,,,,2020.0,100000.0,No,,,,,,,No,,Yes,,400.0,200.0,90.0,200.0,8.0,200.0,200.0,Upto 3/4,No,Filled up every year,2.0,4.0,70.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677511.jpeg,2026-05-02 12:46:24.198,done
Rural,GOA,South Goa,Ponda,,Shiroda,,5,2026-02-14,No,1/30/552/005932/0626863/0005,betal ,,,Tank,,28,15.3233377,74.0243667,Flood prone,State WRD/State Irrigation,Yes,Irrigation,,,400.0,900.0,,Man-made,Masonary,2000.0,50000.0,2006.0,50000.0,No,,,,,,,No,,Yes,,300.0,300.0,200.0,400.0,5.0,853.0,200.0,Upto 1/4,No,Filled up every year,1.0,5.0,9.0,No,,,No,Yes,No,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677515.jpeg,2026-05-02 12:46:29.651,done
Rural,GOA,South Goa,Ponda,,Shiroda,,6,2026-02-08,No,1/30/552/005932/0626863/0006,vazem,,,Tank,,283/1,15.3297277,74.0164506,DPAP,Co-operative,Yes,Irrigation,,,100.0,200.0,,Man-made,Concrete,1999.0,10000.0,2000.0,10000.0,No,,,,,,,No,,Yes,,200.0,200.0,10.0,200.0,9.0,200.0,200.0,Full,No,Filled up every year,1.0,1.0,9.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677517.jpeg,2026-05-02 12:46:35.797,done
Rural,GOA,South Goa,Ponda,,Shiroda,,7,2026-02-14,No,1/30/552/005932/0626863/0007,tarvalem barazom,,,Lakes,,396,15.3412585,74.0180814,DPAP,Other private body,Yes,Irrigation,Ground water recharge,,8277.0,8377.0,,Man-made,Earthen,1999.0,10000.0,2000.0,10000.0,No,,,,,,,No,,Yes,,200.0,100.0,50.0,200.0,6.0,200.0,100.0,Upto 1/2,No,Never filled up,1.0,2.0,70.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677518.jpeg,2026-05-02 12:46:43.417,done
Rural,GOA,South Goa,Ponda,,Shiroda,,8,2026-02-14,No,1/30/552/005932/0626863/0008,kamakshi temple thall ,,,Tank,,1,15.3207651,74.035512,DPAP,Individual,Yes,Religious,,,,,,Man-made,Concrete,2008.0,10000.0,2014.0,10000.0,No,,,,,,,No,,Yes,,666.0,400.0,100.0,800.0,9.0,2264.0,1000.0,Upto 3/4,No,Filled up every year,1.0,5.0,90.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677519.jpeg,2026-05-02 12:46:50.356,done
Rural,GOA,South Goa,Ponda,,Shiroda,,9,2026-02-14,No,1/30/552/005932/0626863/0009,shirvada,,,Lakes,,47/1,15.3149819,74.0224918,DPAP,State WRD/State Irrigation,Yes,Irrigation,,,200.0,800.0,,Natural,,,,1987.0,10000.0,No,,,,,,,No,,Yes,,6000.0,5000.0,2000.0,9000.0,5.0,4000.0,1000.0,Upto 1/2,No,Usually filled up,1.0,4.0,50.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677520.jpeg,2026-05-02 12:46:58.006,done
Rural,GOA,South Goa,Ponda,,Shiroda,,10,2026-05-02,No,1/30/552/005932/0626863/0010,vagdongri ,,,Tank,,178/0,15.3169962,74.020253,DPAP,Individual,Yes,Irrigation,,,800.0,800.0,,Man-made,Earthen,1999.0,10000.0,2000.0,1000.0,No,,,,,,,No,,Yes,,200.0,200.0,40.0,200.0,2.0,400.0,50.0,Upto 1/4,No,Usually filled up,1.0,5.0,300.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677522.jpeg,2026-05-02 12:47:27.78,done
Rural,GOA,South Goa,Ponda,,Shiroda,,11,2026-02-14,No,1/30/552/005932/0626863/0011,umalyar karai,,,Ponds,,298/10,15.3206763,74.0141154,DPAP,Individual,Yes,Irrigation,,,2000.0,2000.0,,Man-made,Concrete,1933.0,1000.0,1944.0,1000.0,No,,,,,,,No,,Yes,,400.0,300.0,100.0,500.0,4.0,400.0,200.0,Upto 1/4,Yes,Filled up every year,1.0,6.0,80.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677523.jpeg,2026-05-02 12:47:33.981,done 
Rural,GOA,South Goa,Ponda,,Shiroda,,12,2026-02-14,No,1/30/552/005932/0626863/0012,satore toalem,,,Lakes,,510,15.3276804,74.033296,DPAP,State WRD/State Irrigation,Yes,Irrigation,,,9000.0,9000.0,,Natural,,,,1999.0,10000.0,No,,,,,,,No,,No,More than 9 months,9000.0,1000.0,100.0,9000.0,5.0,9000.0,2000.0,Upto 3/4,No,Filled up every year,1.0,5.0,90.0,No,,,Yes,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677524.jpeg,2026-05-02 12:47:39.196,done
Rural,GOA,South Goa,Ponda,,Shiroda,,13,2026-02-15,No,1/30/552/005932/0626863/0013,,,,Lakes,,0,15.3019162,74.0598224,DPAP,Individual,Yes,Irrigation,,,400.0,800.0,,Natural,,,,1960.0,10000.0,No,,,,,,,No,,No,More than 9 months,1000.0,900.0,400.0,1000.0,,680.0,600.0,Upto 3/4,No,Filled up every year,1.0,2.0,90.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677525.jpeg,2026-05-02 12:47:46.242,done
Rural,GOA,South Goa,Ponda,,Shiroda,,14,2026-02-19,No,1/30/552/005932/0626863/0014,mandleshwar ,,,Tank,,282,15.3295256,74.016916,DPAP,Individual,Yes,Irrigation,,,291.0,300.0,,Man-made,Concrete,1969.0,10000.0,2000.0,1999.0,No,,,,,,,No,,No,More than 9 months,200.0,190.0,90.0,200.0,9.0,989.0,700.0,Full,No,Filled up every year,1.0,1.0,60.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677526.jpeg,2026-05-02 12:47:52.601,don
Rural,GOA,South Goa,Ponda,,Shiroda,,15,2026-02-20,No,1/30/552/005932/0626863/0015,chickngal ,,,Lakes,,623,15.3283234,74.0534522,DPAP,Muncipal authority,Yes,Industrial,Recreation,Ground water recharge,,,,Natural,,,,,,No,,,,,,,No,,No,More than 9 months,3000.0,3000.0,900.0,6000.0,9.0,30000.0,5800.0,Upto 3/4,No,Rarely filled up,1.0,1.0,60.0,No,,,No,No,,,1-Standalone,,Yes,NITESH D GAONKAR ,MIC_2677527.jpeg,2026-05-02 12:47:58.759,don
Rural,GOA,South Goa,Ponda,,Shiroda,,16,2026-02-20,No,1/30/552/005932/0626863/0016,tallant udden ,,,Lakes,,794,15.3237203,74.0576716,DPAP,Individual,Yes,Irrigation,,,500.0,600.0,,Natural,,,,1998.0,10000.0,No,,,,,,,No,,No,less than 6 months,5000.0,8000.0,6900.0,99998.0,6.0,15165.0,6000.0,Upto 1/2,No,Filled up every year,1.0,1.0,91.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677529.jpeg,2026-05-02 12:48:04.812,
Rural,GOA,South Goa,Ponda,,Shiroda,,17,2026-02-20,No,1/30/552/005932/0626863/0017,makadsai,,,Ponds,,638,15.3360204,74.0573159,DPAP,State WRD/State Irrigation,Yes,Irrigation,,,200.0,900.0,,Natural,,,,1998.0,10000.0,No,,,,,,,No,,No,More than 9 months,500.0,900.0,500.0,900.0,,600.0,400.0,Upto 3/4,No,Usually filled up,2.0,9.0,98.0,No,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677530.jpeg,2026-05-02 12:48:10.029,
Rural,GOA,South Goa,Ponda,,Shiroda,,18,2026-02-28,No,1/30/552/005932/0626863/0018,bibal,,,Lakes,,749,15.3398048,74.0680168,DPAP,State WRD/State Irrigation,Yes,Irrigation,,,900.0,900.0,,Natural,,,,1989.0,10000.0,No,,,,,,,No,,No,More than 9 months,1123.0,1180.0,600.0,5000.0,8.0,2864.0,2000.0,Upto 1/4,No,Never filled up,1.0,2.0,98.0,No,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677531.jpeg,2026-05-02 12:48:15.589,
Rural,GOA,South Goa,Ponda,,Shiroda,,19,2026-02-28,No,1/30/552/005932/0626863/0019,devade primary school,,,Lakes,,88,15.3438365,74.0554406,DPAP,Individual,Yes,Irrigation,,,600.0,800.0,,Man-made,Concrete,1989.0,10000.0,1998.0,10000.0,No,,,,,,,No,,No,less than 6 months,300.0,200.0,600.0,2000.0,5.0,2000.0,200.0,Upto 3/4,No,Filled up every year,1.0,2.0,58.0,,,,No,No,,,1-Standalone,,No,NITESH D GAONKAR ,MIC_2677532.jpeg,2026-05-02 12:48:21.389,
Rural,GOA,South Goa,Ponda,,Ponchavadi,,1,2026-04-30,No,1/30/552/005932/0626864/0001,,,,Water consv schemes/percolation tanks/check-dams,,322,15.2867009,74.0740613,Others,State WRD/State Irrigation,Yes,Irrigation,,,5.0,5.0,,Natural,,,,,,No,,,,,,,No,,No,More than 9 months,286.0,286.0,80.0,286.0,2.0,,,,No,,1.0,6.0,50.0,Not Known,,,No,Yes,No,,1-Standalone,,No,VINCY DCOSTA,MIC_2671205.jpeg,2026-04-30 12:32:35.657,done 
Rural,GOA,South Goa,Ponda,,Ponchavadi,,2,2026-04-29,No,1/30/552/005932/0626864/0002,,,,Ponds,,116,15.3138501,74.0713899,Others,Group of Individuals,Yes,Irrigation,,,1.0,1.0,,Natural,,,,,,No,,,,,,,No,,Yes,,84.0,84.0,50.0,84.0,1.0,50.0,10.0,Full,No,Filled up every year,1.0,2.0,4.0,Not Known,,,No,Yes,No,,1-Standalone,,No,VINCY DCOSTA,MIC_2671206.jpeg,2026-04-30 12:32:45.349,done 
Rural,GOA,South Goa,Ponda,,Ponchavadi,,3,2026-04-29,No,1/30/552/005932/0626864/0003,,,,Ponds,,116/1,15.3144058,74.0713482,Others,Individual,Yes,Irrigation,,,1.0,1.0,,Natural,,,,,,No,,,,,,,No,,Yes,,60.0,50.0,30.0,60.0,1.0,30.0,10.0,Full,No,Filled up every year,1.0,2.0,4.0,,,,No,No,,,1-Standalone,,No,VINCY DCOSTA,MIC_2671207.jpeg,2026-04-30 12:32:52.209,done
Rural,GOA,South Goa,Ponda,,Ponchavadi,,4,2026-04-29,No,1/30/552/005932/0626864/0004,,,,Ponds,,116,15.3122055,74.0723148,Others,Other private body,Yes,Irrigation,,,90.0,90.0,,Natural,,,,,,No,,,,,,,No,,Yes,,90.0,90.0,70.0,90.0,1.5,135.0,60.0,Full,No,Filled up every year,1.0,2.0,2.0,Not Known,,,No,No,,,1-Standalone,,No,VINCY DCOSTA,MIC_2671208.jpeg,2026-04-30 12:33:29.709,done 
Rural,GOA,South Goa,Ponda,,Ponchavadi,,5,2026-04-29,No,1/30/552/005932/0626864/0005,barzan ambali,,,Ponds,,67/3,15.3037133,74.0678537,Others,Group of Individuals,Yes,Irrigation,,,300.0,300.0,,Natural,,,,,,No,,,,,,,No,,Yes,,30.0,30.0,20.0,30.0,0.8,80.0,60.0,Full,No,Filled up every year,1.0,2.0,10.0,No,,,No,Yes,No,,1-Standalone,,Yes,VINCY DCOSTA,MIC_2671209.jpeg,2026-04-30 12:33:37.223,done 
Rural,GOA,South Goa,Ponda,,Ponchavadi,,6,2026-04-01,No,1/30/552/005932/0626864/0006,,,,Tank,,45,15.3149862,74.0834374,Others,Other private body,Yes,Irrigation,,,859.0,859.0,,Man-made,Masonary,2023.0,1000000.0,,,No,,,,,,,No,,Yes,,859.0,859.0,650.0,900.0,1.5,2190.0,1900.0,Full,No,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,Yes,VINCY DCOSTA,MIC_2671210.jpeg,2026-04-30 12:33:43.8,done
Rural,GOA,South Goa,Ponda,,Ponchavadi,,7,2026-04-29,No,1/30/552/005932/0626864/0007,,,,Ponds,,57/6,15.3005585,74.0645714,Others,Individual,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,Yes,,340.0,300.0,100.0,341.0,1.2,435.0,100.0,Full,No,Filled up every year,1.0,7.0,1.0,,,,No,Yes,No,,1-Standalone,,Yes,VINCY DCOSTA,MIC_2671211.jpeg,2026-04-30 12:33:49.816,done
Rural,GOA,South Goa,Ponda,,Ponchavadi,,8,2026-04-29,No,1/30/552/005932/0626864/0008,,,,Ponds,,321/25,15.2762497,74.0946755,Others,Individual,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,Yes,,700.0,300.0,200.0,700.0,1.0,892.0,100.0,Full,No,Filled up every year,1.0,5.0,0.0,,,,No,Yes,No,,1-Standalone,,Yes,VINCY DCOSTA,MIC_2671212.jpeg,2026-04-30 12:33:55.161,done
Rural,GOA,South Goa,Ponda,,Ponchavadi,,9,2026-04-29,No,1/30/552/005932/0626864/0009,,,,Ponds,,299/10,15.2824557,74.075632,Others,Other private body,Yes,Irrigation,,,286.0,365.0,,Natural,,,,,,No,,,,,,,No,,Yes,,286.0,286.0,150.0,286.0,1.27,365.0,365.0,Full,No,Filled up every year,1.0,6.0,40.0,No,,,No,No,,,1-Standalone,,No,VINCY DCOSTA,MIC_2671213.jpeg,2026-04-30 12:33:59.838,done
Rural,GOA,South Goa,Ponda,,Ponchavadi,,10,2026-04-29,No,1/30/552/005932/0626864/0010,,,,Ponds,,135/0,15.3066571,74.0811706,Others,Group of Individuals,Yes,Religious,,,,,,Man-made,Concrete,2022.0,500000.0,,,No,,,,,,,No,,Yes,,20.0,20.0,15.0,20.0,0.2,50.0,10.0,Upto 1/4,No,Filled up every year,1.0,2.0,10.0,Not Known,,,No,No,,,1-Standalone,,No,VINCY DCOSTA,MIC_2671214.jpeg,2026-04-30 12:34:06.39,done 
Rural,GOA,South Goa,Ponda,,Ponchavadi,,11,2026-05-07,No,1/30/552/005932/0626864/0011,,,,Ponds,,322,15.2844696,74.0748963,Others,Other private body,Yes,Irrigation,,,2.0,2.0,,Man-made,Concrete,2008.0,400000.0,,,No,,,,,,,No,,Yes,,80.0,80.0,75.0,90.0,2.0,2000.0,2000.0,Full,No,Filled up every year,1.0,6.0,40.0,No,,,No,Yes,No,,1-Standalone,,Yes,VINCY DCOSTA,MIC_2712277.jpeg,2026-05-12 21:48:27.101,done
Rural,GOA,South Goa,Ponda,,Candola (Ct),,1,2026-03-17,No,1/30/552/005932/0626865/0001,Shri Bhagawati Devi Haldonkarin Temple Tank/Tali,,,Tank,,122/28,15.5165914,73.9683109,Others,Group of Individuals,Yes,Religious,Irrigation,Natural Habitat for birds/Animals,2.0,2.0,,Man-made,Concrete,1550.0,5000.0,2022.0,500000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,517.0,450.0,Full,Yes,Filled up every year,1.0,1.0,100.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522907.jpeg,2026-03-27 11:03:16.689,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,2,2026-03-17,No,1/30/552/005932/0626865/0002,Shri Mahaganpati Temple Tank/Tali,,,Tank,,116/2,15.5144112,73.9677542,Others,Group of Individuals,Yes,Religious,,,2.0,2.0,,Man-made,Masonary,1550.0,50000.0,2024.0,1000000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,578.0,500.0,Full,Yes,Filled up every year,1.0,1.0,100.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522909.jpeg,2026-03-27 11:03:39.0,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,3,2026-03-17,No,1/30/552/005932/0626865/0003,Ganapati Visarjan Tank/Tali ,,,Tank,,56/1,15.5207461,73.9675152,Others,Group of Individuals,Yes,Irrigation,Religious,,1.0,1.0,,Man-made,Concrete,1550.0,10000.0,2021.0,500000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,237.0,200.0,Full,Yes,Filled up every year,1.0,4.0,200.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522928.jpeg,2026-03-27 11:06:31.388,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,4,2026-03-17,No,1/30/552/005932/0626865/0004,Pond  Hodya Bhat,,,Ponds,,114/2,15.5152207,73.9668466,Others,Other private body,Yes,Irrigation,,,1.0,1.0,,Man-made,Concrete,1550.0,10000.0,2022.0,500000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,1040.0,800.0,Full,Yes,Filled up every year,1.0,2.0,50.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522930.jpeg,2026-03-27 11:06:54.624,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,5,2026-03-17,No,1/30/552/005932/0626865/0005,Ganapati Visarjan Tank/Tali Tamsuli,,,Tank,,51/5,15.5125767,73.9708783,Others,Group of Individuals,Yes,Religious,,,1.0,1.0,,Man-made,Masonary,1550.0,50000.0,2024.0,300000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,204.0,170.0,Full,Yes,Filled up every year,1.0,1.0,100.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522937.jpeg,2026-03-27 11:07:09.352,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,6,2026-03-17,No,1/30/552/005932/0626865/0006,Irrigation Pond Hodyo Bhat,,,Ponds,,114/1,15.5165283,73.9657533,Others,Other private body,Yes,Irrigation,,,1.0,1.0,,Man-made,Masonary,2022.0,100000.0,,,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,2.0,255.0,250.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522939.jpeg,2026-03-27 11:07:26.309,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,7,2026-03-17,No,1/30/552/005932/0626865/0007,Ganapati Visarjan Tank/Tali Hodyo Bhat ,,,Tank,,114/4,15.5169443,73.9657699,Others,Other private body,Yes,Irrigation,Religious,,1.0,1.0,,Man-made,Concrete,2020.0,10000.0,2021.0,500000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,492.0,450.0,Full,Yes,Filled up every year,1.0,1.0,100.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522942.jpeg,2026-03-27 11:07:38.859,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,8,2026-03-17,No,1/30/552/005932/0626865/0008,Irrigation Pond Varange ,,,Ponds,,123/28,15.5167157,73.966248,Others,Group of Individuals,Yes,Irrigation,Religious,,1.0,1.0,,Natural,,,,,,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,196.0,100.0,Full,Yes,Filled up every year,1.0,1.0,100.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522944.jpeg,2026-03-27 11:07:46.627,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,9,2026-03-19,No,1/30/552/005932/0626865/0009,Shri Sateri Shantadurga Devasthan Temple Tank/Tali ,,,Tank,,2/1,15.5271533,73.9628233,Others,Group of Individuals,Yes,Religious,,,,,,Man-made,Masonary,1550.0,100000.0,,,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,2778.0,2000.0,Full,Yes,Filled up every year,1.0,5.0,500.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522946.jpeg,2026-03-27 11:07:56.858,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,10,2026-03-19,No,1/30/552/005932/0626865/0010,Butker Irrigation Tank Bagwada ,,,Ponds,,78/0,15.51748,73.9782717,Others,Other private body,Yes,Irrigation,,,1.0,1.0,,Man-made,Concrete,1550.0,10000.0,2000.0,300000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,222.0,200.0,Full,Yes,Filled up every year,1.0,2.0,50.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522947.jpeg,2026-03-27 11:08:06.816,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,11,2026-03-19,No,1/30/552/005932/0626865/0011,Ganapati Visarjan /Irrigation /Dhawlakar Pond Bagwada ,,,Ponds,,74/38,15.5175913,73.9764164,Others,Other private body,Yes,Irrigation,,,1.0,1.0,,Man-made,Concrete,1550.0,10000.0,2010.0,200000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,615.0,500.0,Full,Yes,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522949.jpeg,2026-03-27 11:08:17.248,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,12,2026-03-19,No,1/30/552/005932/0626865/0012,Khanir Pond Tamsuli ,,,Ponds,,88/3,15.5095933,73.9799467,Others,Other private body,Yes,Irrigation,Domestic/Drinking,Natural Habitat for birds/Animals,2.0,2.0,,Man-made,Earthen,1990.0,100000.0,,,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,5.0,463.0,400.0,Full,Yes,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522953.jpeg,2026-03-27 11:08:36.132,
Rural,GOA,South Goa,Ponda,,Candola (Ct),,13,2026-03-26,No,1/30/552/005932/0626865/0013,Irrigation Tank and Well at Kalidas Atmaram Savoikar farm,,,Ponds,,93/0,15.5122604,73.9764687,Others,Other private body,Yes,Irrigation,,,1.0,1.0,,Man-made,Masonary,1550.0,10000.0,2020.0,500000.0,No,,,,,,,No,,Yes,,3.0,3.0,2.0,4.0,1.0,1262.0,1200.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,Yes,RAVISH S PHADTE,MIC_2522957.jpeg,2026-03-27 11:08:45.096,
